brand_norm,category_norm,status,count,avg_price,median_price,min_price,max_price
H&M,Dress,active,1,1.2,1.2,1.2,1.2
H&M,Dress,sold,1,3.0,3.0,3.0,3.0
H&M,Sneakers,active,1,4.0,4.0,4.0,4.0
H&M,T-shirt,active,958,4.34,3.5,1.0,39.0
H&M,T-shirt,sold,103,4.16,3.0,1.0,13.0
Levi's,Jeans,active,960,22.71,20.0,2.0,200.0
Levi's,Jeans,sold,61,23.75,22.0,7.99,95.0
Mango,Dress,active,960,9.41,8.0,1.9,70.0
Mango,Dress,sold,46,10.18,9.5,2.0,25.0
Nike,Sneakers,active,960,43.26,40.0,1.0,300.0
Nike,Sneakers,sold,72,45.47,49.34,25.0,94.9
Zara,Dress,active,960,9.55,8.0,1.0,29.95
Zara,Dress,sold,112,12.12,12.0,2.8,25.0
